genre
Acid
Acid Jazz
Acid Punk
Acoustic
Alt Rock
Alternative
Ambient
Anime
Avantgarde
Ballad
Bebob
Big Band
Blues
Cabaret
Celtic
Chanson
Classic Rock
Classical
Club
Comedy
Country
Dance
Dance Hall
Disco
Dream
Drum & Bass
Easy Listening
Electronic
Ethnic
Euro-Techno
Eurodance
Folk
Folk/Rock
Folklore
Funk
Fusion
Game
Gangsta
Hard Rock
Heavy Metal
Hip-Hop
House
Humour
Indie
Industrial
Instrumental
Instrumental Pop
Jazz
Latin
Lo-Fi
Meditative
Metal
Musical
National Folk
New Age
Oldies
Other
Pop
Pop/Funk
Progressive Rock
Psychedelic
Psychedelic Rock
Punk
Punk Rock
R&B
Rap
Reggae
Retro
Rock
Rock & Roll
Ska
Soul
Soundtrack
Speech
Swing
Symphony
Tango
Techno
Techno-Industrial
Top 40
Trailer
Trance
Trip-Hop
Unknown
Vocal
